OTU_ID	SRR10153291	SRR10153292	SRR10153293	SRR10153294	SRR10153295	SRR10153302	SRR10153313	SRR10153324	SRR10153325
263c0d6a6c4f60b7d5f63850aad82e17	118.0	253.0	242.0	667.0	479.0	513.0	31.0	28.0	53.0
e8a6ad1c7080b821b75b46d435be67bf	86.0	415.0	189.0	324.0	280.0	233.0	0.0	0.0	0.0
460f2e547df0d20facdba1c88ecf81a6	113.0	45.0	43.0	67.0	101.0	114.0	213.0	318.0	291.0
9c640f5e98c75c3b68300997b595116a	66.0	117.0	125.0	300.0	222.0	249.0	0.0	0.0	0.0
546f291265bb300c40dd8c14e28de6cd	89.0	377.0	103.0	194.0	191.0	204.0	0.0	0.0	0.0
5f824aa9777546cb3106b8e275415380	66.0	102.0	132.0	291.0	199.0	193.0	0.0	0.0	0.0
ac01a956c2cef94483ea77aa695df1d9	61.0	83.0	119.0	275.0	194.0	221.0	0.0	0.0	0.0
a59ead8afaae1994fc67afeb6217f764	356.0	97.0	97.0	234.0	75.0	70.0	6.0	6.0	40.0
3e9d72f1228c5d738a0f58e62065be4d	87.0	249.0	77.0	190.0	153.0	196.0	0.0	0.0	0.0
0c0b106470586803d10697b6b25bd388	33.0	24.0	33.0	22.0	43.0	47.0	162.0	235.0	296.0
48023fee36e29abca5fef9a5989604e2	0.0	36.0	103.0	228.0	134.0	207.0	0.0	0.0	0.0
e976c8e81788ec9cd772f4e216511b71	45.0	91.0	78.0	200.0	148.0	154.0	0.0	0.0	0.0
75ef325757e406630a0fc2e8e3349b49	49.0	28.0	52.0	227.0	155.0	84.0	0.0	20.0	0.0
2d08aabf33f913d0617898bb743fee7f	61.0	63.0	15.0	43.0	66.0	34.0	82.0	136.0	209.0
abc388c50da0b806aafd4b58c9a283a7	54.0	30.0	23.0	38.0	46.0	49.0	110.0	151.0	120.0
2e59cc017ea09df8cebfb129ee99715f	71.0	66.0	23.0	27.0	52.0	41.0	50.0	93.0	216.0
447e5d50ac219f5b72731e8c56b3e0d9	238.0	51.0	114.0	28.0	28.0	24.0	62.0	31.0	69.0
68c5604c8a4823a4df5500bec8ae69a8	44.0	15.0	35.0	32.0	44.0	46.0	83.0	133.0	135.0
b8c1382d4cb9e888ca2885cd839aef95	281.0	170.0	48.0	65.0	44.0	41.0	0.0	0.0	0.0
22e432b869ad73bb55a0426e309c3df6	51.0	14.0	9.0	32.0	39.0	52.0	71.0	141.0	95.0
ae2d78c174324fcdc4e3f013a1ed8ed0	61.0	35.0	15.0	18.0	41.0	53.0	60.0	88.0	201.0
21a8ac4d9522dfcfc346153e98422b99	30.0	31.0	11.0	6.0	24.0	17.0	42.0	76.0	225.0
edc85d7ff9b6e57ded0a8d4390b1b898	46.0	30.0	41.0	49.0	55.0	58.0	54.0	73.0	0.0
0165013a3f693ae96722fb0cf1ce3eee	30.0	20.0	12.0	25.0	32.0	26.0	54.0	103.0	96.0
27e5989b46f8c7cc5b9d564347fa0148	93.0	81.0	51.0	43.0	47.0	58.0	0.0	0.0	26.0
1a2bb16ba73ff00519c66953e3f49f78	36.0	0.0	63.0	23.0	23.0	36.0	84.0	47.0	38.0
9e5da352a32fa947413340f3788abe11	39.0	0.0	0.0	0.0	112.0	85.0	45.0	51.0	0.0
db1d85151b26ad4141f7c980e7e7e959	85.0	43.0	32.0	28.0	23.0	29.0	32.0	54.0	67.0
867b31230a4b33b795a03fd18d0bbe9a	34.0	0.0	73.0	112.0	27.0	44.0	0.0	0.0	0.0
650b4bb374fdd317be5cb7f017f5ceb5	106.0	58.0	65.0	81.0	28.0	23.0	0.0	0.0	0.0
b22ffe11c9e47c6879ed775e7add603e	20.0	97.0	43.0	41.0	45.0	101.0	0.0	0.0	0.0
63b3acd8d620db32e57c488d5619b2f7	30.0	21.0	26.0	87.0	92.0	30.0	0.0	0.0	0.0
79bed7b9e4c9eb1f5651629c5ca8ff01	0.0	0.0	34.0	19.0	19.0	86.0	75.0	63.0	0.0
5f9dcd381f1a2e5b91775d2eef7c1d90	41.0	0.0	32.0	41.0	23.0	0.0	48.0	45.0	71.0
723200f1389b0da79b24c99648214609	36.0	14.0	29.0	52.0	19.0	26.0	48.0	34.0	37.0
90c14e396e51967d0659a409239975f6	69.0	0.0	51.0	33.0	53.0	55.0	0.0	0.0	0.0
f3eb9d894528f23510688fbee9b08b40	51.0	0.0	84.0	32.0	43.0	47.0	0.0	0.0	0.0
a16d6b64cf12f95334c9a590d40ed283	87.0	31.0	38.0	34.0	58.0	40.0	0.0	0.0	0.0
273d938f5548875982d6379205f93147	0.0	0.0	0.0	51.0	0.0	0.0	65.0	82.0	56.0
2b41c55f35e30073d4c94348cd432b14	0.0	0.0	0.0	16.0	35.0	0.0	107.0	67.0	26.0
fdc25c961e9302bdc2f4c1a0c33201ff	0.0	0.0	0.0	0.0	18.0	20.0	68.0	99.0	67.0
03d32b50001b998fac4535b25c1929b5	49.0	0.0	115.0	21.0	28.0	25.0	0.0	12.0	0.0
3b16f33f243b8f21622f173fe21a180c	121.0	56.0	35.0	29.0	26.0	18.0	0.0	0.0	0.0
baacaf0fe599e49b918ad5b4cdc1c902	0.0	0.0	0.0	0.0	0.0	5.0	113.0	99.0	31.0
36f9b9080fcec4ed5c73186e306391dd	57.0	0.0	91.0	19.0	36.0	33.0	18.0	0.0	0.0
20bd50e2b4bce607c1d61d56e100dc2d	0.0	0.0	52.0	0.0	22.0	9.0	54.0	51.0	69.0
0be2e4e67cd36b4a9364eafa1dc07b36	32.0	62.0	17.0	25.0	58.0	65.0	0.0	3.0	0.0
3e3fe57c42c2c6ce69c1a67401d65227	0.0	0.0	0.0	20.0	0.0	38.0	70.0	62.0	50.0
3a0f76dc13ea1b4e6ca2b66434aafafa	42.0	53.0	25.0	18.0	20.0	15.0	35.0	20.0	35.0
90d3d8a706cfd6da54f7a0cb9ad498a6	95.0	0.0	28.0	15.0	54.0	28.0	0.0	0.0	0.0
bd08956c378f8e5181379189c1f613b5	103.0	31.0	36.0	49.0	15.0	21.0	0.0	0.0	0.0
450f3946b897bffde2fcae5a36ed37e6	32.0	59.0	15.0	48.0	35.0	0.0	45.0	0.0	0.0
0f14fe013e4b59b6ecbc396b014fa07d	0.0	0.0	54.0	51.0	63.0	39.0	0.0	0.0	0.0
7a77838a430415f7bf8f43f9259ae521	100.0	0.0	21.0	22.0	55.0	43.0	0.0	0.0	0.0
92236ede0bc1f445d45af8182d7996de	0.0	0.0	0.0	0.0	0.0	0.0	105.0	78.0	92.0
4fa0f934a331667d4b70d47f6d3bfa73	36.0	20.0	35.0	16.0	21.0	18.0	24.0	55.0	0.0
493bbd34c44a85d03eaafb4378b6d8cf	69.0	0.0	0.0	48.0	49.0	40.0	0.0	0.0	0.0
9a473b60109cf4e3fd9417d2ce4c0fdd	92.0	26.0	26.0	37.0	18.0	34.0	0.0	3.0	0.0
5abf16986f4af09f0172bac78f155ddc	31.0	0.0	28.0	25.0	9.0	22.0	50.0	40.0	14.0
76eb7b6aaa862c04035cfd5495e821f5	34.0	0.0	15.0	49.0	48.0	27.0	0.0	0.0	0.0
c0b9f7f2596a27bd3eda174b31094adb	0.0	0.0	0.0	0.0	0.0	0.0	90.0	63.0	67.0
001268c9c95541e57a3ebc885820a904	26.0	29.0	64.0	46.0	32.0	20.0	0.0	0.0	0.0
3ccc6336379cf6a08e5006112ecad90e	48.0	11.0	50.0	47.0	20.0	23.0	0.0	0.0	0.0
cb4d20626e51f5c899575d89b8aa3d19	0.0	0.0	35.0	43.0	29.0	49.0	0.0	0.0	0.0
9646ddbbf4e640700f7bf20ff9a61a07	33.0	14.0	36.0	47.0	18.0	24.0	32.0	0.0	0.0
a6a5482076fdd78f13b82a4586cbd660	71.0	41.0	16.0	16.0	28.0	17.0	19.0	0.0	16.0
00733626ca1b96668ed09a714063d162	0.0	0.0	20.0	53.0	50.0	25.0	0.0	0.0	0.0
feccf5e0e456d880ec17546b15efbb89	24.0	0.0	55.0	42.0	11.0	28.0	0.0	0.0	24.0
9f6e24cc25b82b23e38d55774784d1bf	12.0	0.0	23.0	30.0	54.0	34.0	0.0	0.0	0.0
e09889d2f9c6dddbbc03558949c746eb	33.0	45.0	0.0	26.0	51.0	22.0	0.0	0.0	0.0
0ff9aceb103964df71f0114eda5ebab6	0.0	10.0	17.0	24.0	0.0	0.0	34.0	68.0	55.0
377ba3e8d914d50c12742209e316cc12	49.0	0.0	48.0	15.0	47.0	20.0	0.0	0.0	0.0
d590f73e94d8046c96b1f72ddcc77db9	0.0	0.0	0.0	0.0	0.0	0.0	84.0	60.0	54.0
85a2c53ebc176676b82362e2f15670c4	16.0	0.0	5.0	0.0	0.0	0.0	82.0	73.0	22.0
aeeaaee9e29a8720d2ef8edf39c70bf3	0.0	0.0	22.0	0.0	30.0	0.0	28.0	33.0	74.0
1efa63299ff48e04bf774aee2db97f67	0.0	0.0	0.0	24.0	51.0	75.0	0.0	0.0	0.0
ce1abd57ab90e4acd5f579a2ec5ebe25	0.0	0.0	0.0	0.0	0.0	0.0	42.0	79.0	75.0
91d897dd83615e24b2529f2674e83424	0.0	0.0	0.0	0.0	0.0	0.0	51.0	79.0	57.0
2a400b2c12c04200d553de806c5d2124	78.0	0.0	40.0	0.0	39.0	27.0	0.0	0.0	0.0
1c76c00de7511b180f05ad767d6c0ebf	59.0	0.0	22.0	20.0	13.0	58.0	0.0	0.0	0.0
9b5027e5b683bb575db771f50f46a48b	29.0	0.0	16.0	34.0	28.0	28.0	0.0	0.0	0.0
f2172a21f13d3305558d5fc869560716	0.0	0.0	0.0	6.0	20.0	0.0	74.0	49.0	23.0
84dfd3f842953cd07ab739c384eb1422	41.0	52.0	31.0	18.0	26.0	21.0	0.0	0.0	0.0
