OTU_ID	ERR2198721	ERR2198722	ERR2198723	ERR2198724	ERR2198726	ERR2198727	ERR2198728	ERR2198730	ERR2198732	ERR2198733	ERR2198735	ERR2198736	ERR2198737	ERR2198738	ERR2198740	ERR2198741	ERR2198742	ERR2198744	ERR2198748	ERR2198749	ERR2198752	ERR2198753	ERR2198754	ERR2198755	ERR2198757	ERR2198758	ERR2198759	ERR2198765	ERR2198770	ERR2198771	ERR2198779	ERR2198782	ERR2198783	ERR2198784	ERR2198785	ERR2198786	ERR2198787	ERR2198790	ERR2198793	ERR2198797	ERR2198800	ERR2198805
35adf1fa97473a67b28410f4dda346e3	157.0	626.0	159.0	1583.0	99.0	72.0	65.0	5117.0	4760.0	1099.0	679.0	75.0	3088.0	472.0	425.0	25014.0	2856.0	116.0	5.0	10.0	496.0	13744.0	156.0	2731.0	1525.0	7615.0	573.0	140.0	1455.0	9088.0	113.0	2.0	20193.0	12252.0	23427.0	16044.0	29276.0	4.0	454.0	4134.0	17051.0	16256.0
36907c94c87d376a3c46d0254d5843e2	89.0	4492.0	1641.0	191.0	6.0	11.0	4.0	2232.0	9800.0	5707.0	1825.0	7736.0	8539.0	9977.0	5.0	2.0	14.0	1069.0	3480.0	124.0	856.0	977.0	229.0	119.0	0.0	11.0	0.0	0.0	6.0	31.0	16.0	83.0	0.0	0.0	13.0	0.0	0.0	5272.0	3913.0	5.0	0.0	0.0
796cb82274ef6f257f6c41978740a3f9	425.0	5390.0	7817.0	5554.0	10.0	0.0	767.0	7026.0	376.0	281.0	7720.0	2605.0	1956.0	3967.0	6.0	19.0	9.0	320.0	800.0	726.0	5927.0	5778.0	2746.0	6365.0	0.0	0.0	0.0	20.0	15.0	53.0	28.0	0.0	0.0	0.0	24.0	0.0	0.0	1615.0	848.0	0.0	0.0	0.0
a15b8b904c15dc23013ba674d8676cef	7484.0	2229.0	5433.0	3212.0	32.0	0.0	29.0	3070.0	1033.0	795.0	726.0	3205.0	2131.0	1978.0	0.0	0.0	0.0	2028.0	425.0	33.0	9230.0	3912.0	8632.0	3595.0	0.0	0.0	0.0	0.0	10.0	36.0	164.0	142.0	0.0	22.0	0.0	0.0	0.0	1220.0	835.0	0.0	0.0	0.0
4fc2a3a1300f469ea9c9f7bb844dc9b7	60.0	3803.0	17.0	659.0	14.0	9.0	16.0	51.0	686.0	826.0	116.0	46.0	717.0	29.0	7172.0	755.0	9815.0	52.0	0.0	4.0	68.0	261.0	26.0	448.0	1273.0	608.0	362.0	108.0	534.0	141.0	67.0	0.0	5533.0	3739.0	499.0	3502.0	1762.0	2.0	614.0	2042.0	496.0	1162.0
6f9a51c0694709c07b27447e9f8d8afa	2847.0	1624.0	1042.0	338.0	544.0	10.0	39.0	4238.0	2517.0	2822.0	244.0	141.0	177.0	62.0	48.0	53.0	45.0	5155.0	4695.0	3907.0	826.0	126.0	993.0	359.0	0.0	3.0	0.0	408.0	7.0	17.0	5.0	3.0	0.0	0.0	2.0	0.0	0.0	195.0	3245.0	0.0	0.0	0.0
bf6fa9296246b6be98ecd0dc1a078188	25.0	62.0	0.0	1974.0	4.0	0.0	0.0	32.0	2153.0	60.0	0.0	1.0	1720.0	87.0	42.0	15.0	454.0	0.0	0.0	0.0	29.0	6.0	2.0	378.0	492.0	1844.0	3626.0	1342.0	131.0	18.0	8.0	0.0	2973.0	1873.0	538.0	10667.0	32.0	0.0	1203.0	0.0	44.0	259.0
f40e423729ffb3b3cf1192e6316108dd	124.0	355.0	1319.0	41.0	4.0	3.0	2.0	2764.0	240.0	402.0	1714.0	2467.0	1138.0	2032.0	0.0	0.0	0.0	3097.0	753.0	3979.0	472.0	171.0	679.0	398.0	0.0	0.0	0.0	0.0	0.0	14.0	4.0	0.0	0.0	0.0	15.0	0.0	0.0	4282.0	420.0	3.0	0.0	3.0
9889b5070e32522b092d40df84c40fde	13.0	23.0	46.0	18.0	4482.0	66.0	989.0	7.0	6.0	0.0	13.0	17.0	0.0	0.0	334.0	13.0	103.0	21.0	0.0	0.0	37.0	5.0	73.0	28.0	224.0	404.0	205.0	506.0	2035.0	380.0	59.0	0.0	176.0	274.0	2142.0	24.0	79.0	12.0	0.0	74.0	2971.0	7848.0
d4b8677fd33887390c8d49058ca5704d	7.0	104.0	40.0	534.0	0.0	0.0	7.0	34.0	434.0	5420.0	54.0	8.0	669.0	15.0	4207.0	25.0	555.0	59.0	0.0	0.0	17.0	110.0	55.0	767.0	598.0	192.0	404.0	65.0	223.0	8.0	14.0	0.0	55.0	713.0	394.0	56.0	27.0	0.0	505.0	5997.0	1317.0	153.0
02fec41c985cbf21311c9ef506f6b43c	61.0	73.0	0.0	397.0	149.0	0.0	250.0	0.0	4.0	4.0	21.0	0.0	8.0	17.0	1264.0	51.0	240.0	30.0	0.0	0.0	19.0	5.0	0.0	13.0	36.0	22.0	22.0	745.0	9518.0	608.0	57.0	0.0	699.0	1340.0	2938.0	205.0	7.0	4.0	0.0	2.0	0.0	3.0
018aba6bc110ffe321f381414e9ac248	1760.0	983.0	24.0	418.0	106.0	365.0	36.0	164.0	60.0	49.0	102.0	44.0	38.0	125.0	87.0	291.0	289.0	214.0	0.0	18.0	1255.0	176.0	2588.0	2627.0	3.0	4.0	6.0	1443.0	1228.0	33.0	7.0	0.0	36.0	18.0	14.0	121.0	0.0	0.0	122.0	0.0	0.0	0.0
98795b909454e808378d9aed3f380ad9	321.0	695.0	24.0	806.0	587.0	524.0	841.0	22.0	19.0	113.0	39.0	0.0	24.0	40.0	11179.0	399.0	1419.0	153.0	0.0	48.0	48.0	328.0	305.0	88.0	0.0	0.0	0.0	2032.0	405.0	61.0	97.0	0.0	96.0	27.0	0.0	36.0	23.0	0.0	18.0	10.0	6.0	0.0
e3e0f931301ae252302bbf9fdbc4364c	87.0	32.0	12.0	218.0	0.0	0.0	21.0	32.0	12.0	9.0	115.0	9.0	434.0	71.0	0.0	23.0	63.0	0.0	6.0	0.0	53.0	21.0	16.0	1471.0	11.0	0.0	16.0	2867.0	988.0	10.0	67.0	0.0	25.0	1454.0	0.0	34.0	6.0	6.0	6965.0	9.0	16.0	54.0
b32efc1a547a1c76c74c989d1bed0bc7	11.0	88.0	127.0	128.0	90.0	8.0	3.0	94.0	1131.0	970.0	302.0	1390.0	456.0	111.0	168.0	1.0	39.0	4.0	9990.0	657.0	34.0	38.0	94.0	95.0	51.0	36.0	32.0	180.0	198.0	61.0	51.0	75.0	25.0	1093.0	32.0	99.0	32.0	7.0	425.0	0.0	0.0	0.0
6545a93e87f68bfc2853c583118a27b6	486.0	1182.0	529.0	1328.0	27.0	0.0	0.0	320.0	2400.0	2379.0	79.0	116.0	237.0	114.0	106.0	279.0	191.0	0.0	757.0	2521.0	44.0	0.0	51.0	374.0	0.0	0.0	0.0	38.0	100.0	30.0	31.0	69.0	0.0	0.0	0.0	0.0	0.0	14.0	325.0	304.0	0.0	6.0
57f3e58e13f8436e54fff5e66dbfebdd	310.0	221.0	328.0	87.0	0.0	422.0	92.0	15.0	5.0	16.0	11.0	4.0	8.0	9.0	48.0	32.0	166.0	110.0	0.0	40.0	284.0	32.0	906.0	168.0	3.0	8.0	0.0	2871.0	891.0	0.0	9.0	0.0	0.0	19.0	0.0	5.0	0.0	0.0	6.0	0.0	3.0	9.0
130bf277ae6d70c859d2e3d76259c50c	8.0	0.0	11.0	24.0	308.0	221.0	677.0	0.0	0.0	0.0	0.0	0.0	11.0	15.0	38.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	21.0	19.0	1577.0	1609.0	1755.0	3082.0	786.0	163.0	36.0	0.0	108.0	203.0	76.0	37.0	187.0	0.0	0.0	565.0	1558.0	1786.0
