OTU_ID	SRR16971116	SRR16971117	SRR16971118	SRR16971119	SRR16971120	SRR16971121
925b0d51bb3e637a8957ef777a8212f9	2224.0	2760.0	2250.0	1555.0	1602.0	1949.0
623217d7997d7ee6b2a3a7b3d4ad4c7e	854.0	1282.0	804.0	482.0	427.0	574.0
1c5cadd2a4d8a7b64cb37cc59aec020d	537.0	650.0	581.0	566.0	872.0	1030.0
1c9f367f2898a8d923fdae1c5b5ab719	623.0	749.0	620.0	537.0	798.0	879.0
63c9003319d2d86cb06acacb9ac207a7	553.0	811.0	523.0	530.0	524.0	608.0
d6a81324c2c52894a73aea31b86c61e3	357.0	523.0	340.0	955.0	593.0	636.0
b3f99b1e0f6f9a55f07b39f43b1ec8e4	607.0	602.0	626.0	263.0	424.0	426.0
e4c65cc9561aa09d0f850a6c461a5aef	386.0	558.0	282.0	401.0	419.0	433.0
13981dbc202844648fb417d979264f35	304.0	329.0	312.0	351.0	473.0	576.0
fa17a4b2f8f60ea7e843d22112ae8327	201.0	259.0	196.0	565.0	547.0	662.0
d7266aaf81b186f0625ce4007adb71d0	490.0	334.0	441.0	303.0	439.0	327.0
ca0ed7e20089da6ab6581f90917d5ea9	307.0	395.0	326.0	263.0	425.0	449.0
98712c8755f13d3c0e033406f7b1ed29	277.0	348.0	303.0	278.0	391.0	523.0
dede2c7f661590429b8aeba35b5b91f5	417.0	297.0	418.0	331.0	325.0	271.0
810e8ec68d44ee8c8148342600b1a1ca	542.0	388.0	709.0	73.0	81.0	76.0
3d6c115a6047ce6fac580e6d31efbeca	242.0	336.0	222.0	412.0	401.0	495.0
88c603fe38b6bf6265efad25d1a6156a	519.0	380.0	506.0	176.0	180.0	164.0
ba38673dbdb6143ab957e751d061a05c	268.0	195.0	290.0	410.0	413.0	391.0
242673255665244fc28b1421b48d7623	240.0	337.0	218.0	378.0	326.0	403.0
24ecc383b64187bf8b59c10e67783cc1	427.0	282.0	254.0	641.0	211.0	61.0
60e926e45d1ea97b79e0b43196eb8406	293.0	224.0	271.0	310.0	360.0	298.0
