OTU_ID	ERR1594379	ERR1594380	ERR1594381	ERR1594382	ERR1594383	ERR1594384	ERR1594385	ERR1594386	ERR1594387	ERR1594388	ERR1594391	ERR1594392	ERR1594393	ERR1594394	ERR1594395	ERR1594399	ERR1594400	ERR1594401	ERR1594402	ERR1594403	ERR1594404	ERR1594405	ERR1594406	ERR1594407	ERR1594408	ERR1594409	ERR1594411	ERR1594412	ERR1594414	ERR1594415	ERR1594416	ERR1594417	ERR1594418	ERR1594419	ERR1594421	ERR1594423	ERR1594424	ERR1594425	ERR1594426	ERR1594427	ERR1594428	ERR1594429	ERR1594430	ERR1594431	ERR1594433	ERR1594435	ERR1594436	ERR1594437	ERR1594438	ERR1594439	ERR1594440	ERR1594441	ERR1594444	ERR1594446	ERR1594447	ERR1594448	ERR1594449	ERR1594450	ERR1594451	ERR1594453	ERR1594454	ERR1594455	ERR1594456	ERR1594457	ERR1594458	ERR1594459	ERR1594460	ERR1594461	ERR1594462	ERR1594463	ERR1594464	ERR1594465	ERR1594466	ERR1594467	ERR1594468	ERR1594469	ERR1594470	ERR1594471	ERR1594472	ERR1594473	ERR1594474	ERR1594475	ERR1594476	ERR1594477	ERR1594478	ERR1594479	ERR1594480	ERR1594481	ERR1594482	ERR1594483	ERR1594484	ERR1594486	ERR1594487	ERR1594488	ERR1594489	ERR1594490	ERR1594491	ERR1594492	ERR1594493	ERR1594494	ERR1594495	ERR1594496	ERR1594497	ERR1594501	ERR1594502	ERR1594503
bd40ec11e322397c12adf9538ec7473c	28.0	24.0	1247.0	199.0	436.0	65.0	8943.0	446.0	8561.0	245.0	93.0	11.0	7.0	4884.0	4626.0	578.0	166.0	71.0	27.0	304.0	4321.0	17238.0	13980.0	10603.0	11041.0	419.0	103.0	0.0	56.0	170.0	594.0	333.0	0.0	9.0	29.0	32.0	58.0	50.0	0.0	0.0	0.0	0.0	0.0	2.0	3568.0	956.0	12.0	73.0	3422.0	3622.0	0.0	1287.0	27.0	586.0	82.0	10394.0	467.0	9304.0	4165.0	6189.0	73.0	0.0	1197.0	26.0	991.0	161.0	615.0	2743.0	252.0	5.0	0.0	0.0	0.0	0.0	0.0	258.0	139.0	218.0	0.0	178.0	116.0	26.0	138.0	23.0	0.0	0.0	19.0	74.0	12.0	0.0	25.0	0.0	0.0	21.0	0.0	25.0	28.0	21.0	9.0	30.0	13.0	4.0	0.0	0.0	34.0	0.0
30295ba9a2d1a3dbb86f0d3373b71f37	61.0	26.0	0.0	40.0	13.0	2102.0	348.0	834.0	0.0	651.0	15769.0	2539.0	19033.0	13229.0	195.0	102.0	22.0	0.0	355.0	636.0	10.0	24.0	116.0	0.0	3.0	9.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	21.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	33.0	66.0	50.0	94.0	810.0	36.0	2825.0	14.0	0.0	0.0	14.0	26.0	0.0	0.0	12.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	105.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	17.0	0.0	0.0	0.0	0.0
61533b590724eced6b43935ecff7f2bc	0.0	20.0	39.0	27.0	25.0	0.0	18.0	390.0	12.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	33.0	88.0	125.0	0.0	0.0	0.0	105.0	53.0	147.0	0.0	0.0	0.0	0.0	29.0	0.0	197.0	1880.0	6460.0	1253.0	136.0	31.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	35.0	35.0	123.0	54.0	20.0	11.0	73.0	53.0	10.0	0.0	116.0	33.0	19.0	18.0	36.0	0.0	7.0	0.0	0.0	141.0	0.0	0.0	16.0	16.0	55.0	0.0	3.0	0.0	7.0	19.0	26.0	15.0	0.0	16.0	0.0	0.0	0.0	0.0	10.0	0.0
c33e6a172c5219b3329eea01ba5646d6	0.0	0.0	53.0	29.0	62.0	30.0	125.0	46.0	49.0	37.0	23.0	0.0	32.0	32.0	115.0	104.0	35.0	106.0	33.0	185.0	138.0	81.0	68.0	215.0	28.0	70.0	474.0	261.0	465.0	406.0	546.0	440.0	99.0	386.0	972.0	60.0	38.0	30.0	157.0	500.0	239.0	2573.0	1176.0	936.0	114.0	112.0	47.0	159.0	142.0	2487.0	0.0	51.0	1561.0	1494.0	627.0	0.0	139.0	48.0	32.0	326.0	359.0	1794.0	374.0	139.0	135.0	113.0	631.0	678.0	203.0	265.0	20.0	16.0	1316.0	15.0	49.0	5119.0	1332.0	3123.0	4338.0	3964.0	5092.0	1270.0	5870.0	4621.0	23.0	228.0	398.0	39.0	1475.0	3044.0	939.0	2494.0	5661.0	1464.0	1186.0	92.0	84.0	50.0	19.0	79.0	52.0	59.0	36.0	0.0	78.0	57.0
1ce16f07a2628c5a06ecbb28e1039a2f	40.0	44.0	296.0	647.0	1185.0	4.0	105.0	32.0	124.0	0.0	2172.0	10391.0	93.0	412.0	69.0	0.0	0.0	0.0	0.0	0.0	377.0	268.0	186.0	34.0	0.0	10.0	63.0	0.0	0.0	20.0	28.0	19.0	0.0	15.0	14.0	0.0	22.0	14.0	145.0	164.0	20.0	0.0	0.0	0.0	967.0	957.0	66.0	137.0	124.0	74.0	0.0	116.0	67.0	61.0	71.0	143.0	1561.0	306.0	976.0	559.0	89.0	14.0	688.0	14.0	0.0	0.0	0.0	38.0	21.0	206.0	6857.0	5566.0	1600.0	5371.0	549.0	96.0	113.0	843.0	464.0	935.0	308.0	397.0	340.0	106.0	0.0	3500.0	30.0	182.0	49.0	602.0	1640.0	1120.0	3870.0	1302.0	226.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1c7b2885f4b121897fbef7e98360fd96	0.0	0.0	0.0	0.0	0.0	10.0	57.0	12.0	0.0	8.0	18.0	157.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	89.0	0.0	1.0	372.0	160.0	298.0	2366.0	4091.0	4024.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	431.0	1860.0	2672.0	345.0	3217.0	530.0	147.0	28.0	246.0	698.0	160.0	183.0	142.0	2033.0	272.0	0.0	160.0	0.0	82.0	256.0	179.0	141.0	237.0	522.0	36.0	165.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
861424ea09790a40fb8111a1d8c30e98	0.0	13.0	41.0	15.0	18.0	14.0	17.0	35.0	6.0	34.0	6.0	123.0	0.0	18.0	146.0	12.0	8.0	9.0	0.0	13.0	25.0	30.0	12.0	64.0	93.0	238.0	260.0	60.0	235.0	182.0	24.0	48.0	78.0	257.0	530.0	1189.0	1163.0	324.0	250.0	2063.0	2003.0	4167.0	4201.0	4274.0	84.0	17.0	25.0	0.0	106.0	85.0	0.0	127.0	303.0	205.0	83.0	0.0	13.0	19.0	9.0	46.0	35.0	1047.0	56.0	35.0	124.0	50.0	62.0	43.0	56.0	2225.0	40.0	7.0	390.0	8.0	27.0	28.0	68.0	190.0	100.0	150.0	17.0	27.0	15.0	71.0	83.0	893.0	104.0	30.0	3730.0	2130.0	1833.0	398.0	104.0	75.0	4999.0	161.0	168.0	132.0	141.0	167.0	95.0	99.0	64.0	0.0	126.0	103.0
bc7ca15f54ad8e7076e8c8dc68c397a4	7.0	15.0	137.0	45.0	88.0	4.0	21.0	28.0	11.0	4.0	137.0	56.0	35.0	117.0	192.0	16.0	1.0	39.0	26.0	47.0	298.0	442.0	286.0	123.0	63.0	8755.0	862.0	705.0	560.0	983.0	933.0	1067.0	1487.0	781.0	705.0	3299.0	2880.0	670.0	3.0	0.0	3.0	0.0	15.0	2.0	629.0	134.0	4.0	12.0	1054.0	617.0	0.0	744.0	28.0	0.0	59.0	193.0	349.0	345.0	216.0	198.0	125.0	0.0	121.0	23.0	389.0	161.0	266.0	455.0	261.0	9.0	0.0	0.0	0.0	0.0	0.0	44.0	91.0	136.0	7.0	123.0	62.0	10.0	58.0	14.0	0.0	0.0	2.0	46.0	7.0	26.0	57.0	67.0	7.0	119.0	8.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30f9f4d5e397351e25b7c50972d50e42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.0	3304.0	3654.0	8803.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b2d01bfab8c839bb46e464313aefb169	0.0	6.0	26.0	0.0	0.0	0.0	23.0	10.0	12.0	10.0	0.0	70.0	0.0	0.0	23.0	12.0	4.0	3.0	0.0	26.0	0.0	0.0	0.0	4.0	2.0	298.0	303.0	1895.0	251.0	1860.0	1604.0	1357.0	1574.0	961.0	1073.0	578.0	454.0	414.0	8.0	0.0	0.0	0.0	12.0	11.0	4.0	0.0	2.0	0.0	47.0	6.0	0.0	0.0	8.0	0.0	17.0	10.0	3.0	0.0	5.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	6.0	60.0	22.0	0.0	0.0	9.0	5.0	5.0	0.0	0.0	0.0	3.0	68.0	0.0	0.0	13.0	0.0	0.0	18.0	2.0	0.0	0.0	5.0	3.0	10.0	0.0	4.0	0.0	0.0	7.0	0.0
