OTU_ID	SRR18795039	SRR18795040	SRR18795041	SRR18795042	SRR18795043	SRR18795044	SRR18795047	SRR18795058	SRR18795063	SRR18795064	SRR18795065	SRR18795066	SRR18795067	SRR18795068	SRR18795069	SRR18795070
33a44dbdf8e854858c064c6e7c9cdc63	75.0	64.0	79.0	28.0	46.0	53.0	45.0	35.0	68.0	77.0	70.0	86.0	84.0	83.0	42.0	55.0
46fe3c9cef41e2d803e8875ea8228c2b	58.0	58.0	53.0	17.0	30.0	50.0	58.0	57.0	38.0	37.0	51.0	49.0	53.0	48.0	38.0	73.0
464903fe4bd1554d2e12f37f228268bd	41.0	37.0	75.0	34.0	45.0	47.0	62.0	40.0	37.0	41.0	46.0	44.0	59.0	53.0	50.0	49.0
612e66951b80274b904e2bba5c5fb72c	34.0	46.0	49.0	47.0	32.0	35.0	32.0	40.0	32.0	45.0	47.0	54.0	46.0	67.0	42.0	48.0
54238a545d65be5757a6094b490bb8af	38.0	45.0	71.0	56.0	29.0	48.0	33.0	35.0	31.0	32.0	45.0	54.0	33.0	25.0	44.0	43.0
6800b1d0c344ec2203d5df78e13d9ab3	81.0	46.0	39.0	10.0	26.0	16.0	21.0	13.0	37.0	39.0	52.0	53.0	64.0	71.0	18.0	27.0
32a2a94e8104cf0221a08fc907fee9c8	29.0	19.0	41.0	23.0	44.0	51.0	57.0	44.0	21.0	29.0	29.0	29.0	25.0	42.0	43.0	66.0
d1b665b65c8c9f1e0d103cf697bf4da5	37.0	50.0	27.0	15.0	13.0	20.0	15.0	23.0	43.0	56.0	41.0	45.0	55.0	43.0	18.0	27.0
c95b22bf1344689cc58b215bd17c2fd3	46.0	59.0	25.0	10.0	18.0	12.0	22.0	9.0	50.0	38.0	38.0	39.0	44.0	53.0	23.0	10.0
b51d6bc033c9877cda1691f9c10540ab	13.0	21.0	29.0	20.0	25.0	34.0	24.0	32.0	36.0	23.0	26.0	40.0	39.0	18.0	31.0	43.0
52ab79042b03748d4febf64223414bdf	34.0	26.0	30.0	17.0	26.0	24.0	27.0	20.0	20.0	18.0	23.0	50.0	43.0	22.0	17.0	36.0
8fdbe218b3efc00627fd40d3c0638f6d	27.0	0.0	78.0	0.0	44.0	0.0	23.0	0.0	5.0	75.0	44.0	0.0	44.0	47.0	57.0	8.0
e6c26d28a7ac597b0a1755bd80dce2c9	28.0	36.0	23.0	24.0	7.0	14.0	15.0	19.0	28.0	42.0	36.0	61.0	39.0	39.0	10.0	16.0
