sample_id	id_study	Country	Region	Source	Macroalgal_group
SRR10153291	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153292	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153293	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153294	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153302	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153314	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153316	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153312	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153313	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153315	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153317	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153318	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153319	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153320	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153321	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153324	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153325	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR10153295	study_10	China	V3-V4	Caulerpa lentillifera	Chlorophyta
SRR16090725	study_12	China	V3-V4	Ulva fasciata	Chlorophyta
SRR16090726	study_12	China	V3-V4	Ulva fasciata	Chlorophyta
SRR16090727	study_12	China	V3-V4	Ulva fasciata	Chlorophyta
SRR16090728	study_12	China	V3-V4	Ulva fasciata	Chlorophyta
SRR16090729	study_12	China	V3-V4	Ulva fasciata	Chlorophyta
SRR16090731	study_12	China	V3-V4	Ulva fasciata	Chlorophyta
SRR16090732	study_12	China	V3-V4	Ulva fasciata	Chlorophyta
SRR16090733	study_12	China	V3-V4	Ulva fasciata	Chlorophyta
SRR16090734	study_12	China	V3-V4	Ulva fasciata	Chlorophyta
